sample_name,ADAD2,ADAMTS15,ARPP19,ATG9B,BAALC,BBS12,BCMO1,BRUNOL5,C19orf35,C1orf168,C2orf71,C9orf53,CPSF4L,CRYL1,CSNK2A1,DACT3,DEM1,DNA2,DTX3,EIF4A3,ENTPD8,F12,FAM176B,FAM7A1,FAM7A2,FAM7A3,FAM92A1,FBXO47,GBAP,HBA2,HNRNPL,HRC,HSD17B1,IL9R,KIAA1755,LAT,LCE4A,LOC284379,LOC729338,LYRM2,MC1R,MCAT,MLLT6,NHS,NOL10,NR1D1,OGFR,OR1E2,OR1F2P,OXSR1,P4HA3,PAPD5,PI4KAP1,PIH1D2,PNPLA5,PPIH,PRELID2,PRKCI,PRRX2,PVRL2,PXMP2,RASGRP1,RDH8,RPL12,RPL36,RPL9,RPS17,RSBN1L,RYK,SCARB1,STAMBPL1,TBX20,TCHP,TCTE1,TEC,TEKT2,TMEM139,TPH2,TRPM4,TTC23L,ZNF181,ZNF788,class
0201C,0,1.067678253,0,0.416337947,0,0,0,0,0,0.919626154,0,0,0.763460404,0.618831221,0,0.357313486,0,0,0,0,0,0,0,0,0,0,0.91405096,0,0,0,0,0,0,0,0.973712113,0,0,0,0,1.913626267,0,0,0,0,0,0.900209854,0.528571974,0,0,0,0,0,0,0,0.242252799,0.516085699,0,0,0.753150821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421642051,0,0,0,0,0,0.801057498,0,0.684701377,ALL
0202C,0,0,0,0.823008598,0,0,0,0,0,0,0,0,0.585419428,0.613036354,0,0.56510597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452352915,0,0.535165208,0,0,0,1.054063828,0,0,0,0,0,0,0,0,0,0,0,0.624871145,0,0.814938085,0,0,0,0.776631273,0.232760908,0,0,0,0.288905084,0,0,0.567960338,0.67693352,0.608070212,0,0,0,0,0,0,0,1.040242618,0,0,0,0.222486959,0,ALL
0303C,0,0,0,0.097451299,0,0,0,0,0,0,0,0,0.701217039,0.542337269,0,0,0.777173187,0,0,0,0,0,0,0,0,0,0.74340502,0,0,0,0,0,0,0,0.699779427,0,0,0,0,1.644734386,0,0,0.93432382,0,0,0,0.943391563,0,0.946248297,0.540452237,0,0,0.801404518,1.1728952,0.557870306,0.685206231,0,0,0,0,0,0,0,0,0.66670648,0,0,0,0.768155668,0,0,1.124125804,0,0,0,0,0.618206171,0,0,0.931237449,0.78035255,0,ALL
0585C,0,0.503984922,0,0.440670362,0,0,0,0,0,0,0,0,1.107258892,0.457835522,0.865334583,0,0,0,0,0.719002785,0.989052369,0.953394839,0,0,0,0,0,0,0,0,0.36979779,0,0,0,0.446025898,0,0,0,0,0.83464071,0,0,0,0.612883358,0,0,0,0,0,0,1.155019843,0,0,0,0.787210318,0,0.457256866,0,0,1.95349793,0,0.619904265,0,0,0,0,0,0,0,0,0,1.109509421,0,0.586904006,0,0,0,0,0,0,0,0.635224776,ALL
0588C,0.501602709,0,0,1.074360544,0,0.450204794,1.45267287,0,0,0.808035527,0,0,0,1.372603067,0,0,0,0,0.675895422,0,0,0,0,0,0,0,0.49962853,0,0,0,0,0,0,0,0,0.574416582,0,0,0.450204794,0,0,0.839639791,0,0.719482463,0,1.051529228,0,0,1.468676411,0,0,0,0,0,0.740177075,0,0,0,0,1.061438069,0,0.537299693,0.707329399,0.206537728,0,0.753170445,0,0,0,0,0,0.845632097,0.834187349,1.743312682,0,0,0,0.654187622,0,0,0,0,ALL
0615C,0,1.025815836,0.780975377,0.549636457,0,0,1.166796014,0,0,0,0,0,0,0,0,0.237827558,0,0,0,0,0,0,0,0.391214043,0.391214043,0,0.715901712,0,0,0,0,0,0,0,0,0,0,0,0,1.000816763,0.516125534,0.565330003,0,1.336771053,0,0,1.352516009,0,0,0,0,0,0,1.142392277,1.659312128,0,0,0,0,0,0.89342602,0,0,0,0.29295608,0,0,0,0,0,1.398868975,0.52227249,0,0,0,0,0,0,0,0.837225156,0,0.889978547,ALL
0782C,0.765837142,0,0,0,0,0,1.263709789,0,0,0.607277257,0,0,0,0,0,0,0,0,0,0,1.11790714,1.087431413,0,0,0,0,0,0,0,0,0,0.40441862,0,0,0,0.491442961,0,0,0,1.159489911,0,0,0,0.920226746,0,1.339852414,0.910280639,0,0,0,0,0,0,0.69621051,0.831039977,0,1.627992573,0,0.753660982,0.641824334,1.6422918,1.324677816,0,0,0,0,0.778867677,0,0,0,0,0,0,0.772563685,0,0,0,1.175740355,0.40441862,0.631514501,0,0,ALL
1077C,0,1.230312909,0,0,0,0.434561391,0.884076825,0,0,0,0,0,0,0.98335958,0,0,0,0,0,1.353337877,0,0.74785758,0,0,0,0,1.21683756,0,0,0,0,0,0,0,1.066523506,0,0,0,0.434561391,0,0,0.2562959,0,0,0,0,1.192254233,0,0,0,0,0,0.233892849,1.434520522,0,0,0.142636387,0,0.840379988,0,0,0,0,0,0.190237755,0,0,0,0,0,0,0,0.898616772,0.671825613,0,0,0,0,0,0.924520371,0,0,ALL
1452C,0,0.359907439,0,0.470138943,0,0,0.982805462,0,0,0.84112656,0,0,0.543933533,0,0,0,0.682802343,0,0,0,0,0.934706665,0.162549623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542774276,0,1.024489072,0,0,0,1.041859878,0,1.133181817,0.629971997,0,0,0,0,0,0,0.811442651,1.035092615,0,0,0,0.909015014,1.153248825,0,1.023607397,0,0,0,0,0,0,0,0,0,0,0,0.766974966,0,0,0.80642264,1.202731608,0,0.338705851,0.297708702,0.723398658,ALL
1477C,0.753640318,0,0,1.122176924,0,0,0,0,0,0,0,0,0,0,0,0,0.92967697,0,0,1.151424529,0,0,0,0,0,0,0,0,0,0,0,0.746676411,0,0,0.449015326,0.420415273,1.151965749,0,0,0,0.824705434,0,0,0.79882333,0,0.969116978,0.989904888,0,0.788984724,0,0,0,0,1.042194054,0.635941515,0,0,0,0,0.364696624,0,0,0.614878156,0,0.749281163,0,0,0,0,0,0,0,0,0.892241778,0,0,0,0,0.746676411,0,0,0,ALL
